job_execution_id	job_data_raw_id	assay_id	target_id	molecule_id	cs_id	relation	standard_units	standard_value	activity_type	inchi	inchikey	smiles	ro5violations	target_organism	pmid	full_mwt	compound_pref_label	assay_description	target_title	
15	171024	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2075582	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL34259	http://ops.rsc.org/OPS52615			null	Activity	InChI=1S/C20H22N8O5/c1-28(9-11-8-23-17-15(24-11)16(21)26-20(22)27-17)12-4-2-10(3-5-12)18(31)25-13(19(32)33)6-7-14(29)30/h2-5,8,13H,6-7,9H2,1H3,(H,25,31)(H,29,30)(H,32,33)(H4,21,22,23,26,27)/t13-/m0/s1	FBOZXECLQNJBKD-ZDUSSCGKSA-N	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	2.000	Homo sapiens	http://identifiers.org/pubmed/15313923	454.439		TP_TRANSPORTER: uptake in membrane vesicle from BCRP-expressing Sf9 cells	ATP-binding cassette sub-family G member 2	
15	171481	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL939579	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL450130	http://ops.rsc.org/OPS1066534			null	Activity	InChI=1S/C30H24Br4O6/c1-29(2)16-10-37-25-14(6-12(32)8-18(25)34)19(16)21-23(35)27-22(24(36)26(21)39-29)20-13-5-11(31)7-17(33)15(13)9-38-28(20)30(3,4)40-27/h5-8,16,19-20,28H,9-10H2,1-4H3/t16-,19+,20-,28-/m1/s1	IJWMZDYBFAUURF-CWHPDUKHSA-N	CC1([C@@H]2COC3=C([C@@H]2C4=C(O1)C(=O)C5=C(C4=O)OC([C@H]6[C@@H]5C7=C(CO6)C(=CC(=C7)Br)Br)(C)C)C=C(C=C3Br)Br)C	2.000	Homo sapiens	http://identifiers.org/pubmed/18954040	800.124		Inhibition of BCRP expressed in HEK293 cells assessed as mitoxantrone accumulation at 10 uM by spectrofluorimetry	ATP-binding cassette sub-family G member 2	
15	171010	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2077495	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL939	http://ops.rsc.org/OPS1036706			null	Activity	InChI=1S/C22H24ClFN4O3/c1-29-20-13-19-16(12-21(20)31-8-2-5-28-6-9-30-10-7-28)22(26-14-25-19)27-15-3-4-18(24)17(23)11-15/h3-4,11-14H,2,5-10H2,1H3,(H,25,26,27)	XGALLCVXEZPNRQ-UHFFFAOYSA-N	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	0.000	Homo sapiens	http://identifiers.org/pubmed/15155841	446.902		TP_TRANSPORTER: stimulation of ATPase activity (0.1~1 u M) in BCRP-expressing Sf9 cells	ATP-binding cassette sub-family G member 2	
15	171143	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2077541	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1697724	http://ops.rsc.org/OPS345072			null	Activity	InChI=1S/C24H32O8/c1-24-9-8-14-13-5-3-12(25)10-11(13)2-4-15(14)16(24)6-7-17(24)31-23-20(28)18(26)19(27)21(32-23)22(29)30/h3,5,10,14-21,23,25-28H,2,4,6-9H2,1H3,(H,29,30)/t14-,15-,16+,17+,18+,19+,20-,21+,23-,24+/m1/s1	MTKNDAQYHASLID-QXYWQCSFSA-N	C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)CCC5=C3C=CC(=C5)O	1.000	Homo sapiens	http://identifiers.org/pubmed/15901800	448.506		TP_TRANSPORTER: Transepithelial Transport (basal to apical) in OATP1B1/BCRP double transfected MDCKII cells	ATP-binding cassette sub-family G member 2	
15	170959	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2075188	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2074941	http://ops.rsc.org/OPS1663745			null	Activity	InChI=1S/C48H79N4O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-44(53)61-37-40(64-45(54)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2)38-62-66(59,60)63-39-42(48(55)56)49-41-35-36-43(52(57)58)47-46(41)50-65-51-47/h17-20,35-36,40,42,49H,3-16,21-34,37-39H2,1-2H3,(H,55,56)(H,59,60)/p-2/b19-17+,20-18-/t40?,42-/m0/s1	JJGPEMHBCCAKID-WCMIBQGTSA-L	CCCCCCCC/C=C/CCCCCCCC(=O)OCC(COP(=O)([O-])OC[C@@H](C(=O)[O-])NC1=CC=C(C2=NON=C12)[N+](=O)[O-])OC(=O)CCCCCCC/C=C\CCCCCCCC	3.000	Homo sapiens	http://identifiers.org/pubmed/12946267	949.119		TP_TRANSPORTER: efflux in BCRP-expressing EPG85-257 cells	ATP-binding cassette sub-family G member 2	
15	171071	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2078484	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL481	http://ops.rsc.org/OPS536980			null	Activity	InChI=1S/C33H38N4O6/c1-3-22-23-16-21(43-32(40)36-14-10-20(11-15-36)35-12-6-5-7-13-35)8-9-27(23)34-29-24(22)18-37-28(29)17-26-25(30(37)38)19-42-31(39)33(26,41)4-2/h8-9,16-17,20,41H,3-7,10-15,18-19H2,1-2H3/t33-/m0/s1	UWKQSNNFCGGAFS-XIFFEERXSA-N	CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7	2.000	Homo sapiens	http://identifiers.org/pubmed/12488537	586.678		TP_TRANSPORTER: Cytotoxicity in MT-4 and MT-4/DOX500 cells	ATP-binding cassette sub-family G member 2	
15	171091	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2075605	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1405	http://ops.rsc.org/OPS608219	=	%	70.000	Activity	InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1	DNXHEGUUPJUMQT-CBZIJGRNSA-N	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O	0.000	Homo sapiens	http://identifiers.org/pubmed/12920197	270.366		TP_TRANSPORTER: inhibition of E1S uptake by Estrone at a concentration of 30uM in membrane vesicle from BCRP-expressing K562 cells	ATP-binding cassette sub-family G member 2	
15	171088	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2078552	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL150	http://ops.rsc.org/OPS1392479			null	Activity	InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H	IYRMWMYZSQPJKC-UHFFFAOYSA-N	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	0.000	Homo sapiens	http://identifiers.org/pubmed/15205350	286.236		TP_TRANSPORTER: drug resistance (Mitoxantrone) in BCRP-expressing K562 cells	ATP-binding cassette sub-family G member 2	
15	170929	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2077076	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL2074830	http://ops.rsc.org/OPS687048			null	Activity	InChI=1S/C28H30N4O6/c1-3-28(35)20-11-22-25-18(14-32(22)26(33)19(20)15-38-27(28)34)17(13-31-6-4-30(2)5-7-31)16-10-23-24(12-21(16)29-25)37-9-8-36-23/h10-12,35H,3-9,13-15H2,1-2H3	RVFGKBWWUQOIOU-UHFFFAOYSA-N	CCC1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC6=C(C=C5N=C4C3=C2)OCCO6)CN7CCN(CC7)C)O	2.000	Homo sapiens	http://identifiers.org/pubmed/11309344	518.561		TP_TRANSPORTER: increase of cytotoxicity by GF120918 in T8 cells	ATP-binding cassette sub-family G member 2	
15	170944	http://rdf.ebi.ac.uk/resource/chembl/assay/CHEMBL2078552	http://rdf.ebi.ac.uk/resource/chembl/target/CHEMBL5393	http://rdf.ebi.ac.uk/resource/chembl/molecule/CHEMBL1405	http://ops.rsc.org/OPS608219			null	Activity	InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1	DNXHEGUUPJUMQT-CBZIJGRNSA-N	C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O	0.000	Homo sapiens	http://identifiers.org/pubmed/15205350	270.366		TP_TRANSPORTER: drug resistance (Mitoxantrone) in BCRP-expressing K562 cells	ATP-binding cassette sub-family G member 2	
